text,hatespeech_comb
text,hatespeech_comb
cara viver outro mundo mundo real refugiado viver favela vizinho fortaleza,1
incompetente cuidar brasileiro pouco refugiado,0
cumpanhero quebrar regra,0
conseguir pensar sentido lato ver frente olho,0
dia Macaco branco haha,1
imaginar ow mandar body opressor pra duda hahahaho,0
parabéns brar menina,0
parabéns irmão saúde paz amém,0
ah conviver comigo fds precisar pensar mta coisa trabalhar rs,0
sono rs cheiro tb adorar,0
oww lindo trabalho amanhã dó,0
Baummm hein gostoso ar reflexiva enmm paz tb mto,0
básico hahaho,0
taí ótima sobremeso doce bolo,0
deixar lembrança saudade minar enfrente ouça música lindo msm conhecer the corrs,0
ouvir música preciso vc excelente linda foda pq tô separar pqp,0
ceder encanto caímo boca caro,0
perfume pra mão jovem amantepra mão cappice,1
estimo foda ser profissional,1
dia sapatao vida,1
falar kkkk,0
ta errar épesquisa gente burrar mulher trabalhar homem,1
linha boné,0
jhu viar lir dj luizinho dia sapatão gostoza,1
enem oooooooooooooooooooooooooooooooooooooooooooooo sometime vida gado ano julio pa gangnar style,0
extra imagine ser branco fazer muçulmano notícia país inteiro,1
extraoficial terrorista louvre egípcio ano chegar frança passado equipe,0
futebol escolinha adc santano adc pedreira copa Rio branco amparo,0
max tomar cu max gorda feio max amor leticia gordar maxwell,1
casa,0
deixar adivinharpéssimar pai gordar feio sequer assediar alguémacho hein,1
aaaaaaa falar trabalho refugiado ir conseguir,0
aaaaaa turma homem prof falar cabo sapatão conector femea femea mundo olhar pra eu,1
afronta português párar pnr Portugal imigração,0
agência Livead Paulo adquirir exemplar livro meuamigosecreto feminismo rede,0
Alemanha tornar sentir benefício imigrante invasão islâmico,1
mão dia namoradosa calha dia mulher benficadortmund criar testar relacionamento benfiquista,0
ameaça terrorismo radical islâmico real acontecer Europa oriente médio tribunal,0
amplo retardar falar merda ganhar fama jovem débel mental,1
perder linha verniz tolerante acabar estalar,1
atenção finalmente voltado infiltrado desocupar ser pego,0
avaliar quantidade malta morrer in memor ano durar horita oscar,1
abaixo exemplo manifestação direito orgulho hetero,0
bazófia jesus assumir erro abafar palhinha,1
abdnsndnns sair burca pra mostrar cara ninguém encimo de ela,1
aberração adulto impor criança flácido ideologia gênero nãoàideologiadegênero,1
aberto inscrição iii festival dança acontecer abril estação cabo branco,0
abismo desigualdade injustiço renovarportugal Portugal,0
bomba encontrar nazaré detonar panamá quase haver ano expresso espera brigada mina armadilha,0
aborto crime repugnante vida frágil indefesa,0
abri janela tar gorda apartamento frente olhar pra chorar achar cair empadinha de ela,1
heueheueher fiquei achar branco arroz tb ideia olhar gostar açaí,0
burra mulher esquecer celular ônibus ta chorar busão querer rir,1
acabar chegar redacao radio Angola seguinte informacao Pedro gonga liberdade,0
acabár adicionar data tour overdose tourette fev covilhã bilhete,0
acabár adicionar data tour overdose tourette fev ericeiro bilhete Fnac,0
acabar comemorar dia internacional mulher lavar louça diadamulher,0
acabar caso cunhado vascarpim férias render arte rsss,0
acabar ouvir cigana chinês sujo higiene viver dormar cliché morrer hj,1
acabar ouvir casal rasta pessoa passar cheiramo malpffffela cheir champô,0
acabar pagar real carregador pq esquecir começar dia sentir mulher burra Brasil,1
acabo nomear general hr mcmaster conselheiro segurança nacional,0
feliz dia mulher pra feminista vejo quão burra sociedade,1
cadeira copo Lula,1
base militar andrews ministro shinzo hoje,0
campanha Continuaeducacaosemideologiadegenero acer adquirar livro,0
cara feia vivian gorda roberta bom coisa eh bbb,1
cara gorda feio roberta bbb,1
acção pnr oeira cascal Portugal,0
aceitar trocar Benfica jantar romântico namorar pagasse gasolina amanhã estar catedral,0
aceitar chifr joaquinresponde,0
censura democrático mau de elas arbitrário hipócrita cobarde finge existir existir,0
achar bander machista to entender logica feminista atitude bandido cometer,0
achar pagina,0
achar cabelo branco sinto ano tintura chegar,0
achar engraçar vcs falar ustra idolatr che,0
achar irónico mulher ajudar nasa andar frente estar cadeira roda oscar,1
achar ter meter carreira bárbara guimarães in memorir oscar,0
achar mó engraçar galero tentar chamar atenção fznd piadinhar burra dia mulher,0
achar legal feminista compartilham quebrando tabu chamar gorda feio briga macho parabéns vc,1
achar menina restaurante frente sapatão kkkkkk ficar olhar,0
achar perder vezkkkkkkkkk dó,0
achar morango céu so pra rsrs tô sampa vista tá nubladim frio,0
achar simone depender natal pra sobreviver papai noel,1
achar aceitar realmente jornalismo,0
achar sono resolver desaparecer junto dinheiro esperar dia têlo volta,0
achar ir gozar esefosseconsigo,0
achar cara redação enem dever perder pq ficar claro sabor miojo,0
achar tatuagem colorir ficar bonito gente branco,0
achar ir ai preguiça dormir xerus,0
achar ir caronar mimir,0
achar ridículo respeito homofóbico,1
achar argumento ridículo mudar opinião conseguir refutar linha resumo,0
cidade viseu preparado receber feira despachemse garantir presença,0
hojeo parceiro media oficial significar conteúdo exclusivo,0
acima vitória esmagador classe,0
açõespreventiva castelo branco Centro abelardoluzr descrição atividader tecnico vistorio,0
odio vida mulher machisto qnd escuto algum falar merda fico mt abuso pq odeio Gnt burra ignorante tb,1
comissão europeu afirmar hesitar aplicar sanção país recusar receber,0
acompanhar agenr ideologia gênero país,0
acordar pra trabalhar ae cambado vagabur,1
acordar ler notícia dessasisso mãe monstro inversão valor Deus,0
defender amigo bandir corrupto partido poder aceitar ficar,1
corrida liderança cnd obviamente armaçãor escolha bernie chance,0
cota negro aumentar bbb né,1
cp recrutar revisor requisito falar espanhol ser importante contratar pessoa saibam crioulo,1
acreditar querer existir agefluid ideologia gênero provavelmente ati,0
prova importar jair preconceituoso enquadra moda atual difamalo,1
crimeia ocupar Rússia durante governo obama ser obama bonzinho Rússia,1
actualmente retardado deitar banheira nutela joaquinresponde,1
culpa Brasil jeito tá único exclusivamente dilma,0
culpa estrela vermelho,0
culpa tirar,0
acusação estupro assédio agressão arruinar vida homem atar,0
conhecimento doutrinação escola triste realidade Brasil mundo,1
vdd Conheci dar block pessoa,0
ade patrocina versão branca neve,0
obama fazer viagem,0
adicionar vídeo lista reprodução angol China vs EUA verdade,0
adicionar vídeo playlist islão eu,1
diferença vergonha cara vs vagabur,0
diferença tribunal comissão parlamentar em este última haver pobre haver ninguém condenar,0
achar msm vc branquelo,1
branco achar racismo coitadismo vontade continuar perfil,1
vc chame palmito,0
adivir esquerda demonizar esquerda,0
adorar cerimônia nao to entender Monte país subdesenvolver estádio,0
adorar energia de aqui gostar lembrar ir trabalhar feriado gostar emprego tá ótimo rs,0
adorar frase vivo louco normal acabar mundo fikdik rs,0
adorar católico lembrar bíblia Deus ser homofóbico islão religião violência,1
adquirar livro ideologia gênero educação doutrinação ser introduzer,0
adquirar cupom pra pro clube macho ser hs chibata blackfriday,0
advogado deputado renovarportugal Portugal,0
advogado abandonar moça acusar feliciano abusoagorar moçaatacar deputado procurador,0
voltar importante abrir cerveja matinal fodase,0
aeciomaiscitadocar Bolsonaro discussão idiota homofobir,0
aeeeee dilmar cair ja viajar pra miami,0
emma stone vester saco lixo rodear saco lixo camião lixo estar oscar,0
entrevista longo super bowl hoje noite pm br divirtase,0
homem começar cor Rosa,1
aeroporto Mário Soares fazer sentido ser ota macau,0
esquerda lamentar morte bandido matar pra genocida stalin matar po,1
esquerda palavra sujeiro defender ideologia sanguinário culpar usar,1
esquerda zumbi palmar libertar negro escravidão pra escravizalo,1
esquerda morrer câncer terminal,1
esquerda falar rebelião justificar superlotação falar motivo fazer ir pro prisão,0
esquerda monte merda gente mídia chamar extremo,0
esquerdo filha puta,1
esquerda gostar viver sujeira gostar feio idolatrar burrice pichação arte vagabur,0
esquerda inventar problema incutir cabeça pessoa problema existir repetir mentira acredit,0
esquerdalha comunista anarquista ser escumalha selvagem carregar ódio violência,0
