rt @user ser chorona e a pior coisa q existe  eu fico chateada e meu olho enche de lágrima na hora,0,0
misericórdia alguém faz uma fextinha,0,0
@user kkkkkkkkkkkk pqp eu ai,0,0
"tudo q eu quero hoje, é ir pra casa !",0,0
"Baseado em reportagem decorrente de arquivos hackeados por estelionatário, publicada em veículo de imprensa marron, que hoje, não detém mais credibilidade alguma. Isso é desespero, despreparo e abuso de autoridade. 🇧🇷 #NasRuasContraSTF",0,0
mano eu to super doente caralho,0,0
"ai, que tédio 😒 vou assistir alguma coisa",0,0
estou com uma vontade de comer um doce que pqp,0,0
vai toma no cu twitter tive q fazer outro,0,0
@user pode dois? da tela bloqueada e da desbloqueada. https://t.co/rnuo9l82k9,0,0
ae caralho partiu toquio,0,0
"agora nãonpode mais denunciar um crime, porque senão a gente está ""celebrando ele""",0,0
"@user @user Eu sou responsável pelo o que eu escrevo, não pelo o que você entende! Em momento algum na postagem eu citei que usufruíria da promoção hoje.",0,0
rt @user gosto de irritar o menino q'eugosto pq ele bravo é fica ainda +gostoso https://t.co/2wwk8nywst,0,0
deu certo galera,0,0
@user fora ‼‼ #deltannapgr,0,0
vamo cara vamoo pqp meu coração,0,0
rt @user ser o mais feio e chato em todos os seus grupos de amigos é essencial https://t.co/vhpsgrzho9,0,0
quando vcs vao parar com gif de gretchen mano???,0,0
fome da porra bicho .,0,0
"""Agora falando de mim sou  um amante do rap, que sonha aumentar a vasquia e dominar por completo Marco de canaveses no  mapa objetivo completo  4630 mano just respect""",0,0
no começo estava uma merda e no final parecia que estava no começo,0,0
rt @user cade a boa de hj nesse araxá,0,0
"Eu não conversei com nenhuma delas. Mas imagina o tanto de material que eu teria com inspiração nesses personagens. Taí, o que falta pra minha criatividade é me livrar dessa vergonha de falar com quem ainda não é meu amigo.",0,0
"tem que chegar com estilo, não é mesmo?",0,0
"Hoje, os Devotos se apresentam no Sesc 24 de Maio e você pode escutá-los ao vivo na nossa transmissão sonora! Sintonize a partir das 21h: https://t.co/zR8FLn8eRl https://t.co/P4lDCbrBms",0,0
"rt @user mais é exatamente quando a gente está cansado,o coração distrai então a sorte vem 💭",0,0
iala kkkkkkkkkkkkkkkk,0,0
@user ja te disse o quão importante vc é pra mim ??,0,0
@user queiroz vai ser o ator coadjuvante 🍊🤡🤮🤣,0,0
rt @user alguém: a    eu https://t.co/1yus4uwkpm,0,0
